,Bids
2016012542,-85.0
2016012543,-85.0
2016012544,-85.0
2016012545,-85.0
2016012546,-85.0
2016012547,-85.0
2016012548,-85.0
2016012601,-85.0
2016012602,-85.0
2016012603,-85.0
2016012604,-140.0
2016012605,-140.0
2016012606,-85.0
2016012607,-85.0
2016012608,-85.0
2016012609,-85.0
2016012610,-100.0
2016012611,-100.0
2016012612,-115.0
2016012613,-115.0
2016012614,-115.0
2016012615,-97.0
2016012616,-85.0
2016012617,-85.0
2016012618,-85.0
2016012619,-85.0
2016012620,-85.0
2016012621,-85.0
2016012622,-85.0
2016012623,-85.0
2016012624,-85.0
2016012625,-85.0
2016012626,-85.0
2016012627,-85.0
2016012628,-85.0
2016012629,-85.0
2016012630,-72.0
2016012631,-63.72
2016012632,-63.72
2016012633,-63.72
2016012634,-63.72
2016012635,-63.72
2016012636,0.0
2016012637,-58.86
2016012638,-58.86
2016012639,-58.86
2016012640,-63.72
2016012641,-63.72
2016012642,-63.72
2016012643,-63.72
2016012644,20.76
2016012645,20.76
2016012646,20.76
2016012647,20.76
2016012648,-35.0
2016012701,-35.0
2016012702,-35.0
2016012703,20.76
2016012704,20.76
2016012705,-35.0
2016012706,20.76
2016012707,20.76
2016012708,20.76
2016012709,20.76
2016012710,20.76
2016012711,18.0
2016012712,-40.0
2016012713,-40.0
2016012714,-0.2
2016012715,-0.2
2016012716,20.76
2016012717,0.0
2016012718,5.0
2016012719,22.46
2016012720,22.46
2016012721,22.46
2016012722,22.46
2016012723,0.0
2016012724,0.0
2016012725,22.46
2016012726,22.46
2016012727,22.46
2016012728,22.46
2016012729,22.46
2016012730,21.15
2016012731,-58.86
2016012732,-60.75
2016012733,-60.75
2016012734,-58.86
2016012735,-60.75
2016012736,10.0
2016012737,0.0
2016012738,-60.75
2016012739,-60.75
2016012740,0.0
2016012741,0.0
2016012742,0.0
2016012743,-60.75
2016012744,-60.75
2016012745,-63.72
2016012746,-63.72
2016012747,-63.72
2016012748,-63.72
2016012801,-85.0
2016012802,-85.0
2016012803,-85.0
